job_id,title,company,location,required_skills,min_experience,education,salary_min,salary_max,description
J0671,Blockchain Engineer,SpaceX,"Hawthorne, CA","Solidity,Ethereum,Web3.js,Smart Contracts,DeFi,Node.js",3,Bachelor,167725,293737,"Push the boundaries of AI research, publish papers, develop novel architectures, and translate research into production systems."
J0523,Infrastructure Engineer,Anthropic,"San Francisco, CA","Linux,AWS,Terraform,Ansible,Docker,Networking,Python",5,Bachelor,149693,239661,"Build and maintain CI/CD pipelines, manage cloud infrastructure, ensure system reliability, and automate operational tasks."
J0480,Senior DevOps Engineer,Databricks,"Philadelphia, PA","AWS,Terraform,Kubernetes,Helm,ArgoCD,Monitoring,Python,Linux",6,Bachelor,179234,268743,"Build and maintain CI/CD pipelines, manage cloud infrastructure, ensure system reliability, and automate operational tasks."
J0357,Computer Vision Engineer,NVIDIA,"Minneapolis, MN","Python,PyTorch,OpenCV,CNNs,Object Detection,3D Vision",5,Master,170722,271429,"Push the boundaries of AI research, publish papers, develop novel architectures, and translate research into production systems."
J0609,Senior Product Manager,IBM,"New York, NY","Product Strategy,Analytics,SQL,Stakeholder Management,Vision,GTM",8,Bachelor,176626,307874,"Define product vision and strategy, prioritize features based on data, collaborate with engineering and design, and drive product execution."
J0709,Robotics Software Engineer,IBM,"New York, NY","C++,Python,ROS,Computer Vision,SLAM,Linux,Control Systems",5,Master,170945,264798,"Develop firmware and embedded software for hardware products, optimize for power and performance, and debug hardware-software interfaces."
J0477,Senior DevOps Engineer,Robinhood,"Menlo Park, CA","AWS,Terraform,Kubernetes,Helm,ArgoCD,Monitoring,Python,Linux",5,Bachelor,184652,288060,"Build and maintain CI/CD pipelines, manage cloud infrastructure, ensure system reliability, and automate operational tasks."
J0707,FPGA Engineer,Adobe,"Raleigh, NC","VHDL,Verilog,FPGA,Xilinx,Signal Processing,C++",4,Master,148214,256774,"Develop firmware and embedded software for hardware products, optimize for power and performance, and debug hardware-software interfaces."
J0705,FPGA Engineer,Pinterest,"Minneapolis, MN","VHDL,Verilog,FPGA,Xilinx,Signal Processing,C++",3,Master,163489,235419,"Develop firmware and embedded software for hardware products, optimize for power and performance, and debug hardware-software interfaces."
J0314,Senior Data Scientist,Sony,"San Mateo, CA","Python,Pandas,TensorFlow,PyTorch,SQL,Statistics,MLOps,Experiment Design",6,Master,181188,285861,"Analyze large datasets to derive actionable insights, build dashboards and reports, and collaborate with product teams on data-driven decisions."
J0410,Data Engineer,Snap,"Los Angeles, CA","Python,SQL,Spark,Airflow,AWS,Kafka,ETL,Data Modeling",4,Bachelor,168626,237384,"Build and maintain CI/CD pipelines, manage cloud infrastructure, ensure system reliability, and automate operational tasks."
J0488,Site Reliability Engineer,AMD,"San Diego, CA","Python,Go,Kubernetes,AWS,Monitoring,Linux,Terraform,Incident Management",6,Bachelor,160480,262708,"Ensure service reliability at scale, manage incident response, build monitoring and alerting systems, and drive reliability culture."
J0080,Ruby on Rails Engineer,Vercel,Remote,"Ruby,Rails,PostgreSQL,Sidekiq,Redis,Heroku",4,Bachelor,161818,244613,"Push the boundaries of AI research, publish papers, develop novel architectures, and translate research into production systems."
J0176,Angular Frontend Developer,Oracle,"Austin, TX","Angular,TypeScript,RxJS,HTML,CSS,NgRx",3,Bachelor,124112,184770,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0643,Senior UX Designer,Block,"Seattle, WA","Figma,User Research,Design Systems,Prototyping,Leadership,Strategy",5,Bachelor,145899,252666,"Create intuitive user experiences, build design systems, conduct user research, and collaborate closely with engineering teams."
J0579,Senior QA Engineer,Microsoft,"Redmond, WA","Python,Selenium,Cypress,Playwright,CI/CD,Performance Testing,API Testing",5,Bachelor,143535,221462,"Design and implement test automation frameworks, write comprehensive test suites, and ensure product quality through rigorous testing."
J0167,Vue.js Frontend Engineer,Zoom,"San Jose, CA","Vue,Vuex,JavaScript,TypeScript,HTML,CSS,Webpack",3,Bachelor,134402,195498,"Build responsive, accessible user interfaces with modern frameworks, collaborate with design teams, and optimize web performance."
J0563,Application Security Engineer,MongoDB,"New York, NY","Security,OWASP,Code Review,Python,SAST,DAST,Threat Modeling",4,Bachelor,148462,250386,"Identify and mitigate security vulnerabilities, conduct security reviews, build security tooling, and respond to security incidents."
